train_name,train_type,status,confidence,matched_by,sample_train_no,train_count,row_count,data_quality_flags
CCG-DRD,EMU,REVIEW,0.750,NUMBER_RANGE,93007,2,4,{ROUTE_CODE_STYLE}
CCG-DRD EMU,EMU,REVIEW,0.750,NUMBER_RANGE,93005,1,2,{ROUTE_CODE_STYLE}
CCG-VR,EMU,REVIEW,0.750,NUMBER_RANGE,90981,1,2,{ROUTE_CODE_STYLE}
CCT-SC COCAN,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12775,1,11,{LIKELY_TRUNCATED}
CDAE-HWH LOC,PASSENGER,REVIEW,0.550,NUMBER_RANGE,36032,4,56,{LIKELY_TRUNCATED}
CDG  INDB  E,EXPRESS,REVIEW,0.650,NUMBER_RANGE,19308,1,19,{LIKELY_TRUNCATED}
CDG - BDTS E,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22452,1,24,{LIKELY_TRUNCATED}
CDG - LKO EX,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12232,1,16,{LIKELY_TRUNCATED}
CDG - PPTA S,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22356,1,16,{LIKELY_TRUNCATED}
CDG AII G RA,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12984,1,15,{LIKELY_TRUNCATED}
CDG JP INTER,EXPRESS,REVIEW,0.650,NUMBER_RANGE,19718,1,17,{LIKELY_TRUNCATED}
CDG-ASR INTE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12411,1,9,{LIKELY_TRUNCATED}
CDG-ASR SUPE,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12241,1,6,{LIKELY_TRUNCATED}
CDG-DBRG EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,15904,1,35,{LIKELY_TRUNCATED}
CDG-FZR EXP,EXPRESS,REVIEW,0.650,NUMBER_RANGE,14613,1,8,{ROUTE_CODE_STYLE}
CDG-MAS LINK,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22688,1,4,{LIKELY_TRUNCATED}
CDG-NDLS SHA,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12046,1,4,{LIKELY_TRUNCATED}
CDG-YPR BI W,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,22686,1,18,{LIKELY_TRUNCATED}
CEN-BBS WEEK,SUPERFAST,REVIEW,0.700,NUMBER_RANGE,12829,1,21,{LIKELY_TRUNCATED}
CG - BT LOCA,PASSENGER,REVIEW,0.550,NUMBER_RANGE,33061,1,26,{LIKELY_TRUNCATED}
CG - SDAH  L,PASSENGER,REVIEW,0.550,NUMBER_RANGE,34501,24,404,{LIKELY_TRUNCATED}
CG - SPR LOC,PASSENGER,REVIEW,0.550,NUMBER_RANGE,34353,1,9,{LIKELY_TRUNCATED}
